word,surprise,anger,sadness,happy,fear
eric ,0.02747253,0.049450554,0.016483517,0.02747253,0.038461544
errors ,0.011904763,0.011904763,0.035714287,0.011904763,0.035714287
es ,0.023809526,0.071428575,0.023809526,0.071428575,0.023809526
especially ,0.022702105,0.037098564,0.026024364,0.019379845,0.034514584
essential ,0.02747253,0.016483517,0.049450554,0.02747253,0.038461544
estimated ,0.05102041,0.091836736,0.010204082,0.010204082,0.010204082
eu ,0.08928572,0.053571433,0.017857144,0.017857144,0.017857144
europe ,0.011904763,0.043650795,0.02777778,0.02777778,0.02777778
evaluation ,0.030612247,0.030612247,0.030612247,0.030612247,0.05102041
evening ,0.012065638,0.03137066,0.027509654,0.03137066,0.029440157
exactly ,0.051515155,0.017748918,0.016017316,0.035064936,0.021212123
excellent ,0.02747253,0.02747253,0.016483517,0.02747253,0.02747253
exclusive ,0.011904763,0.011904763,0.107142866,0.035714287,0.011904763
expect ,0.022837708,0.013119535,0.009232265,0.0782313,0.018950438
experience ,1.90E-04,1.18E-04,1.21E-04,2.14E-04,1.87E-04
experts ,0.017857144,0.125,0.017857144,0.017857144,0.017857144
explore ,0.055194806,0.00974026,0.016233768,0.042207796,0.02922078
exposure ,0.030612247,0.030612247,0.010204082,0.010204082,0.091836736
expression ,0.045454547,0.02813853,0.032467537,0.02813853,0.015151517
extended ,0.035714287,0.025510205,0.045918368,0.005102041,0.045918368
extension ,0.026785716,0.026785716,0.026785716,0.008928572,0.08035715
extreme ,0.053571433,0.022959184,0.04336735,0.007653062,0.017857144
face ,0.036885247,0.024785327,0.015027323,0.04195941,0.022053083
fact ,0.03154762,0.028373018,0.0375,0.015674604,0.02638889
factory ,0.015306124,0.005102041,0.015306124,0.015306124,0.025510205
facts ,0.010204082,0.030612247,0.030612247,0.04421769,0.010204082
fail ,0.00641574,0.11591104,0.001283148,0.0106929,0.008982036
failed ,0.002645503,0.06991686,0.04270597,0.013227513,0.004157219
failure ,0.004400813,0.009140149,0.015233582,0.002369668,0.11137441
fair ,0.021428574,0.024285715,0.035714287,0.027142858,0.018571429
faith ,0.014751554,0.024068324,0.011645963,0.047360253,0.047360253
fall ,0.013200725,0.008137433,0.009222424,0.009222424,0.102893315
falls ,0.045918368,0.005102041,0.015306124,0.025510205,0.056122452
false ,0.02747253,0.038461544,0.023809526,0.020146523,0.012820514
famous ,0.058035716,0.040178575,0.02232143,0.02232143,0.013392858
fan ,0.043233085,0.02443609,0.02443609,0.03195489,0.02443609
fans ,0.029761905,0.053571433,0.009920636,0.021825397,0.029761905
fantasy ,0.082417585,0.016483517,0.016483517,0.02747253,0.016483517
far ,0.052197803,0.015734266,0.028221779,0.021228772,0.025224777
faster ,0.032467537,0.010822511,0.045454547,0.01948052,0.032467537
fat ,0.023076925,0.025274727,0.047252752,0.012087913,0.018681321
favorites ,0.023809526,0.023809526,0.11904762,0.023809526,0.023809526
fear ,0.00502554,0.004201681,0.003377822,0.007332345,0.12283738
features ,9.37E-05,3.23E-06,1.62E-05,9.70E-06,9.70E-06
feedback ,2.33E-05,3.32E-06,1.66E-05,2.99E-05,3.65E-05
feeds ,0.014285715,0.042857148,0.071428575,0.042857148,0.014285715
felt ,0.022077924,0.02557877,0.021513272,0.029418409,0.024675326
festival ,0.035714287,0.056122452,0.015306124,0.015306124,0.025510205
fiction ,0.026785716,0.04464286,0.026785716,0.026785716,0.04464286
fight ,0.0018724,0.049583916,0.002011096,0.001733703,0.086615816
figures ,0.016483517,0.02747253,0.016483517,0.060439564,0.038461544
filed ,0.035714287,0.035714287,0.107142866,0.035714287,0.035714287
fill ,0.024916943,0.041528244,0.024916943,0.034883723,0.021594686
film ,1.37E-04,7.14E-05,3.88E-05,9.18E-05,7.96E-05
films ,0.046583854,0.00310559,0.015527951,0.00931677,0.034161493
finding ,0.029761905,0.017857144,0.028439155,0.039021164,0.024470901
fine ,0.013809525,0.010000001,0.012857144,0.07380953,0.031904764
finish ,0.03902798,0.013991164,0.040500738,0.02724595,0.018409425
finished ,0.034883723,0.026024364,0.021594685,0.03820598,0.022702105
fire ,0.011520738,0.008448541,0.008448541,0.023809526,0.089861766
firm ,0.041666668,0.053571433,0.029761905,0.029761905,0.005952382
fishing ,0.052380957,0.014285715,0.014285715,0.033333335,0.042857148
fit ,0.020661157,0.032467537,0.01475797,0.05844156,0.018299883
fitness ,0.025714288,0.002857143,0.042857148,0.014285715,0.06571429
fix ,0.016917294,0.043233085,0.065789476,0.009398497,0.013157894
flag ,0.05952381,0.011904763,0.035714287,0.035714287,0.035714287
flight ,0.039285716,0.003571429,0.025,0.03214286,0.053571433
flights ,0.026785716,0.0625,0.026785716,0.008928572,0.04464286
